Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,t,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,velocity.linear.x,velocity.linear.y,velocity.linear.z,velocity.angular.x,velocity.angular.y,velocity.angular.z,acceleration.linear.x,acceleration.linear.y,acceleration.linear.z,acceleration.angular.x,acceleration.angular.y,acceleration.angular.z,acc_bias.x,acc_bias.y,acc_bias.z,gyr_bias.x,gyr_bias.y,gyr_bias.z,jerk.x,jerk.y,jerk.z,snap.x,snap.y,snap.z,motors_0,motors_1,motors_2,motors_3
1743728855.3144112,16503,1743728855,309377193,world,1743728855.3093772,-2.986296413122171,-2.993273853873226,1.156623332118354,0.0067916652376592,0.0242553056234671,0.7287926984293386,-0.6842709669045551,0.056635814488426,0.0939142890574318,-0.0093102980552889,0.0698462012527152,0.2679300702432879,0.0286391257141581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.324303,16504,1743728855,319416046,world,1743728855.319416,-2.985733614878951,-2.9923200067977933,1.1565298454969442,0.0055803762852903,0.0235867210973513,0.728691039933645,-0.6844135404189583,0.0543173708615842,0.0982518405948636,-0.0093101347702474,0.0653962969834384,0.2660625099265133,0.0296653752549055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.3338766,16505,1743728855,329423189,world,1743728855.3294232,-2.9851959908114303,-2.9913264557193564,1.1564367511154623,0.0043970481101775,0.0229037396521917,0.7285811180928872,-0.6845623704501876,0.0519223377446734,0.1023185338978682,-0.0092694055051495,0.0528427697922136,0.269693208723093,0.0369788270538192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.3440776,16506,1743728855,339291096,world,1743728855.339291,-2.984689596790731,-2.9903073642910165,1.156345458230433,0.0032588711399067,0.0221587938398532,0.7284598185797903,-0.684722323521846,0.0494856866726556,0.1060758470219536,-0.009186297698147,0.0379022112317518,0.2790793455981431,0.0368419545056058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.35426,16507,1743728855,349299669,world,1743728855.3492997,-2.984200620941667,-2.9892366560324826,1.1562538055605478,0.0021183224231031,0.0213243240169054,0.7283402769800738,-0.6848804471175411,0.0469531522740483,0.1096239642621468,-0.0090596897853418,0.0297233842531994,0.2843414402262003,0.0248292338322476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.3641553,16508,1743728855,359301090,world,1743728855.359301,-2.9837374428074326,-2.9881318966508776,1.1561635828409358,0.0009927788779323,0.0204526316365914,0.7282576167277619,-0.6849974802342252,0.0443717483553345,0.1128957268491641,-0.0088922656832283,0.0221553513330178,0.2815864392435025,0.0262891403016293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.374307,16509,1743728855,369304657,world,1743728855.369305,-2.9833001103484977,-2.9869948772755066,1.1560751254353876,-9.83188782296292e-05,0.0195647840788096,0.7281608749094685,-0.6851269588977104,0.0417464964138192,0.1158928087396633,-0.0086822272670579,0.0160395767974013,0.2792344147067003,0.0305301941710273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.3840475,16510,1743728855,379296064,world,1743728855.379296,-2.9828896274477628,-2.9858299902653918,1.15598897698657,-0.0011589290765838,0.0186644779320961,0.7280508422865051,-0.6852680243472832,0.0390879561608024,0.1186132833029159,-0.0084319184109029,0.0111957266821704,0.2775609848986752,0.0260652041418647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.3941078,16511,1743728855,389303684,world,1743728855.3893037,-2.9825051735025467,-2.9846366534023803,1.1559052861756651,-0.0022028555414918,0.0177456729888958,0.727961057927382,-0.6853852468932209,0.0363943932119526,0.1210664083199277,-0.008145265367333,0.0042593542061007,0.2820625424289539,0.0279765852769521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.4038942,16512,1743728855,399368286,world,1743728855.3993683,-2.98214574103984,-2.9834124670757056,1.155824095416886,-0.0032485744206308,0.0167817146244432,0.7278575093786299,-0.6855153294125779,0.0336600607918298,0.1232578619454888,-0.0078215735624626,0.0010466791112813,0.2863540119947385,0.0282498346367004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
